strain,date,clade_membership,country,region,url,author,accession
D1/China/GDdg/D16216/2016_Philippines_,2016-10-16 (2016-01-01 - 2016-12-31),DENV1/IV,China,China,,?,MG840574
D16216,10/18/2016,DENV1/IV,China,China,,?,MN018290
D1/China/GDfs/D17026_Malaysia_,2017-12-31 (2017-08-04 - 2017-12-31),DENV1/IV,China,China,,?,MG840579
D1/Taiwan/114TP1611a,2016-11-01 (2016-11-01 - 2016-11-27),DENV1/IV,Taiwan,China,,Yang et al A,KY496854
D1/Philippines/1610cTw,2016-10-31 (2016-10-04 - 2016-10-31),DENV1/IV,Taiwan,China,,Yang et al A,KY496855
19XN24151,9/18/2019,DENV1/IV,China,China,,?,MN923080
D1/China/GDst/D16061/2016_Philippines_,2016-09-04 (2016-01-01 - 2016-12-31),DENV1/IV,China,China,,?,MG840567
D16061,9/6/2016,DENV1/IV,China,China,,?,MN018318
D1/hu/Yap/NIID27/2004,2004-12-31 (2004-03-21 - 2004-12-31),DENV1/IV,Japan,Japan Korea,,Nukui et al (https://www.ncbi.nlm.nih.gov/pubmed/16494770),AB204803
PNG_2015c,2015-01-01 (2015-01-01 - 2015-11-15),DENV1/IV,Papua New Guinea,Oceania,,Pyke et al,MH921566
PNG_2016,2016-01-01 (2016-01-01 - 2016-11-03),DENV1/IV,Papua New Guinea,Oceania,,Pyke et al,MH921567
GZ01/95,1995-01-01 (1995-01-01 - 1995-10-20),DENV1/IV,China,China,,Chen et al B (https://www.ncbi.nlm.nih.gov/pubmed/18446424),EF032590
GD95/95,1995-12-31 (1995-03-12 - 1995-12-31),DENV1/IV,China,China,,Wu et al A (https://www.ncbi.nlm.nih.gov/pubmed/21703015),FJ196846
DH/S1/05/04,1/1/2005,DENV1/IV,Malaysia,Southeast Asia,,Chem et al,JN697056
Seychelles_1480_04,2004-12-31 (2004-03-30 - 2004-12-31),DENV1/IV,Seychelles,Africa,,Schuffenecker et al,DQ285561
Reunion_185/04,2004-01-01 (2004-01-01 - 2004-07-12),DENV1/IV,France,Europe,,Schuffenecker et al,DQ285558
Reunion_257/04,2004-12-31 (2004-04-19 - 2004-12-31),DENV1/IV,France,Europe,,Schuffenecker et al,DQ285560
CHI3336_02,2002-12-31 (2002-06-10 - 2002-12-31),DENV1/IV,Chile,South America,,Caceres et al (https://www.ncbi.nlm.nih.gov/pubmed/18815724),EU863650
DENV_1/PF/BID_V2939/2001,2001-06-30 (2001-01-01 - 2001-12-31),DENV1/IV,French Polynesia,Oceania,,Henn et al T,FJ898448
HawO3758,2001-04-03 (2001-01-01 - 2001-12-31),DENV1/IV,Usa,North America,,Imrie et al (https://www.ncbi.nlm.nih.gov/pubmed/20507696),DQ672563
NC02/030602_585,6/3/2002,DENV1/IV,New Caledonia,Oceania,,Aubry et al A,JQ915077
NC04/030704_1994,7/3/2004,DENV1/IV,New Caledonia,Oceania,,Aubry et al A,JQ915078
HawM2516,2001-03-18 (2001-01-01 - 2001-12-31),DENV1/IV,French Polynesia,Oceania,,Imrie et al (https://www.ncbi.nlm.nih.gov/pubmed/20507696),DQ672560
HawM3430,2001-03-20 (2001-01-01 - 2001-12-31),DENV1/IV,Usa,North America,,Imrie et al (https://www.ncbi.nlm.nih.gov/pubmed/20507696),DQ672561
HawM2540,2001-03-20 (2001-01-01 - 2001-12-31),DENV1/IV,Usa,North America,,Imrie et al (https://www.ncbi.nlm.nih.gov/pubmed/20507696),DQ672562
NC09/300509_13639,5/30/2009,DENV1/IV,New Caledonia,Oceania,,Aubry et al A,JQ915079
NC10/080810_1138,8/8/2010,DENV1/IV,New Caledonia,Oceania,,Aubry et al A,JQ915080
PF07/230407_201,4/23/2007,DENV1/IV,French Polynesia,Oceania,,Aubry et al A,JQ915071
PF09/060209_120,2/6/2009,DENV1/IV,French Polynesia,Oceania,,Aubry et al A,JQ915075
PF08/070308_138,3/7/2008,DENV1/IV,French Polynesia,Oceania,,Aubry et al A,JQ915073
PF08/180908_01,9/18/2008,DENV1/IV,French Polynesia,Oceania,,Aubry et al A,JQ915074
PF07/051107_164,11/5/2007,DENV1/IV,French Polynesia,Oceania,,Aubry et al A,JQ915072
PF09/090609_76,6/9/2009,DENV1/IV,French Polynesia,Oceania,,Aubry et al A,JQ915076
PF08_080108_88,1/8/2008,DENV1/IV,French Polynesia,Oceania,,Aubry et al B,MG181997
PF08/080108_88,1/8/2008,DENV1/IV,French Polynesia,Oceania,,Lequime et al (https://www.ncbi.nlm.nih.gov/pubmed/29497564),KY926849
VR_1254,1944-12-31 (1944-06-23 - 1944-12-31),,Usa,North America,,Hibberd et al,EU848545
Hawaii,1944-01-01 (1944-01-01 - 1944-07-14),,Usa,North America,,Anez et al (https://www.ncbi.nlm.nih.gov/pubmed/26868382),KM204119
ThD1_0008_81,1981-01-01 (1981-01-01 - 1981-10-30),DENV1/I,Thailand,Southeast Asia,,Zhang et al A (https://www.ncbi.nlm.nih.gov/pubmed/16306584),AY732483
ThD1_0081_82,1982-09-18 (1982-01-01 - 1982-12-31),DENV1/I,Thailand,Southeast Asia,,Zhang et al A (https://www.ncbi.nlm.nih.gov/pubmed/16306584),AY732481
D87_116,1987-01-01 (1987-01-01 - 1987-11-01),DENV1/I,Thailand,Southeast Asia,,Lambrechts et al (https://www.ncbi.nlm.nih.gov/pubmed/22130539),JN638341
D90_1197,1990-12-31 (1990-02-22 - 1990-12-31),DENV1/I,Thailand,Southeast Asia,,Lambrechts et al (https://www.ncbi.nlm.nih.gov/pubmed/22130539),JN638342
D1Myanmar31459/98,1998-12-31 (1998-04-02 - 1998-12-31),DENV1/I,Myanmar,Southeast Asia,,Thu et al,AY726555
D1Myanmar38862/01,2001-01-01 (2001-01-01 - 2001-10-19),DENV1/I,Myanmar,Southeast Asia,,Thu et al,AY726550
D1Myanmar206/01,2001-12-31 (2001-05-04 - 2001-12-31),DENV1/I,Myanmar,Southeast Asia,,Thu et al,AY713475
D1Myanmar194/01,2001-05-20 (2001-01-01 - 2001-12-31),DENV1/I,Myanmar,Southeast Asia,,Thu et al,AY713474
D1Myanmar44988/02,2002-01-01 (2002-01-01 - 2002-09-26),DENV1/I,Myanmar,Southeast Asia,,Thu et al,AY726552
KD86_035,1986-01-01 (1986-01-01 - 1986-07-13),DENV1/I,Thailand,Southeast Asia,,Lambrechts et al (https://www.ncbi.nlm.nih.gov/pubmed/22130539),JN638336
00407/95,1995-12-31 (1995-03-05 - 1995-12-31),DENV1/I,Thailand,Southeast Asia,,Lambrechts et al (https://www.ncbi.nlm.nih.gov/pubmed/22130539),JN638344
KD90_157,1990-01-01 (1990-01-01 - 1990-09-24),DENV1/I,Thailand,Southeast Asia,,Lambrechts et al (https://www.ncbi.nlm.nih.gov/pubmed/22130539),JN638337
KD92_080,1992-12-31 (1992-04-07 - 1992-12-31),DENV1/I,Thailand,Southeast Asia,,Lambrechts et al (https://www.ncbi.nlm.nih.gov/pubmed/22130539),JN638338
ThD1_0336_91,1991-12-31 (1991-03-05 - 1991-12-31),DENV1/I,Thailand,Southeast Asia,,Zhang et al A (https://www.ncbi.nlm.nih.gov/pubmed/16306584),AY732477
ThD1_0323_91,1991-12-31 (1991-05-17 - 1991-12-31),DENV1/I,Thailand,Southeast Asia,,Zhang et al A (https://www.ncbi.nlm.nih.gov/pubmed/16306584),AY732478
V832,1994-01-01 (1994-01-01 - 1994-11-16),DENV1/I,Taiwan,China,,Chu et al (https://www.ncbi.nlm.nih.gov/pubmed/24040199),AB608788
DENV_1_Jeddah,12/31/2011,DENV1/I,Saudi Arabia,West Asia,,Azhar et al (https://www.ncbi.nlm.nih.gov/pubmed/25591713),KJ649286
DENV1_2522,2010-12-31 (2010-05-16 - 2010-12-31),DENV1/I,Eritrea,Africa,,?,KU509258
2012/SO/CNR_14126,5/11/2012,DENV1/I,Somalia,Africa,,?,MN650594
GD99/99,1999-12-31 (1999-04-26 - 1999-12-31),DENV1/I,China,China,,Wu et al A (https://www.ncbi.nlm.nih.gov/pubmed/21703015),FJ196848
ThD1_0488_94,1994-12-31 (1994-06-17 - 1994-12-31),DENV1/I,Thailand,Southeast Asia,,Zhang et al A (https://www.ncbi.nlm.nih.gov/pubmed/16306584),AY732475
ThD1_0097_94,1994-01-01 (1994-01-01 - 1994-06-10),DENV1/I,Thailand,Southeast Asia,,Zhang et al A (https://www.ncbi.nlm.nih.gov/pubmed/16306584),AY732480
03881/92,1992-11-14 (1992-01-01 - 1992-12-31),DENV1/I,Thailand,Southeast Asia,,Lambrechts et al (https://www.ncbi.nlm.nih.gov/pubmed/22130539),JN638343
30399/95,1995-12-31 (1995-03-04 - 1995-12-31),DENV1/I,Thailand,Southeast Asia,,Lambrechts et al (https://www.ncbi.nlm.nih.gov/pubmed/22130539),JN638339
30231/97,1997-12-20 (1997-01-01 - 1997-12-31),DENV1/I,Thailand,Southeast Asia,,Lambrechts et al (https://www.ncbi.nlm.nih.gov/pubmed/22130539),JN638340
V360052,1994-05-14 (1994-01-01 - 1994-12-31),DENV1/I,Taiwan,China,,Chu et al (https://www.ncbi.nlm.nih.gov/pubmed/24040199),AB608789
DENV_1/VN/BID_V770/2003,2003-06-25 (2003-01-01 - 2003-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482792
DENV_1/VN/BID_V2833/2003,2003-10-04 (2003-01-01 - 2003-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199831
DENV_1/VN/BID_V2850/2005,2005-10-21 (2005-01-01 - 2005-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al T,FJ898389
DENV_1/VN/BID_V2766/2007,2007-04-03 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199790
DENV_1/VN/BID_V1788/2007,2007-12-29 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al U,FJ432733
DENV_1/VN/BID_V2837/2004,2004-01-01 (2004-01-01 - 2004-09-27),DENV1/I,Vietnam,Southeast Asia,,?,GQ199833
DENV_1/VN/BID_V769/2003,2003-01-01 (2003-01-01 - 2003-08-28),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482791
DENV_1/VN/BID_V931/2003,2003-12-31 (2003-05-15 - 2003-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482476
DENV_1/VN/BID_V2836/2004,2004-08-05 (2004-01-01 - 2004-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AB,FJ882569
DENV_1/VN/BID_V2827/2003,2003-12-31 (2003-05-15 - 2003-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AB,FJ882564
DENV_1/VN/BID_V2832/2003,2003-05-03 (2003-01-01 - 2003-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AB,FJ882567
DENV_1/VN/BID_V2831/2003,2003-09-06 (2003-01-01 - 2003-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AB,FJ882566
DENV_1/VN/BID_V2835/2003,2003-12-31 (2003-05-23 - 2003-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AB,FJ882568
DENV_1/VN/BID_V2834/2003,2003-04-24 (2003-01-01 - 2003-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199832
DENV_1/VN/BID_V2846/2005,2005-07-17 (2005-01-01 - 2005-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199837
DENV_1/VN/BID_V2845/2005,2005-06-30 (2005-01-01 - 2005-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199836
DENV_1/VN/BID_V767/2003,2003-01-01 (2003-01-01 - 2003-09-13),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482789
DENV_1/VN/BID_V2855/2005,2005-12-31 (2005-02-25 - 2005-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al T,FJ898394
DENV_1/VN/BID_V3991/2008,2008-12-31 (2008-03-02 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131763
DENV_1/VN/BID_V2842/2005,2005-01-01 (2005-01-01 - 2005-08-27),DENV1/I,Vietnam,Southeast Asia,,Henn et al T,FJ898386
DENV_1/VN/BID_V2830/2003,2003-01-01 (2003-01-01 - 2003-09-02),DENV1/I,Vietnam,Southeast Asia,,?,GQ199830
DENV_1/VN/BID_V2829/2003,2003-03-27 (2003-01-01 - 2003-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AB,FJ882565
DENV_1/VN/BID_V2871/2006,2006-10-17 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al T,FJ898405
DENV_1/VN/BID_V2873/2006,2006-07-26 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al T,FJ898406
DENV_1/VN/BID_V3888/2008,2008-12-31 (2008-04-15 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131718
DENV_1/VN/BID_V2911/2006,2006-07-23 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al T,FJ898425
DENV_1/VN/BID_V2854/2005,2005-12-20 (2005-01-01 - 2005-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al T,FJ898393
DENV_1/VN/BID_V3904/2008,2008-12-31 (2008-03-20 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131726
DENV_1/VN/BID_V3861/2008,2008-01-01 (2008-01-01 - 2008-09-04),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131696
DENV_1/VN/BID_V2812/2007,2007-12-31 (2007-08-05 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199822
DENV_1/VN/BID_V1918/2008,2008-01-01 (2008-01-01 - 2008-10-03),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410251
DENV_1/KH/BID_V1992/2003,2003-07-28 (2003-01-01 - 2003-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639678
DENV_1/IPC/BID_V3919/2000,2000-01-01 (2000-01-01 - 2000-09-15),DENV1/I,Cambodia,Southeast Asia,,?,GQ868637
DENV_1/KH/BID_V1994/2003,2003-01-01 (2003-01-01 - 2003-10-07),DENV1/I,Cambodia,Southeast Asia,,Henn et al S,FJ850069
DENV_1/KH/BID_V1998/2004,2004-12-31 (2004-08-28 - 2004-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al R,JQ287664
DENV_1/KH/BID_V2373/2001,2001-01-01 (2001-01-01 - 2001-10-15),DENV1/I,Cambodia,Southeast Asia,,Zody et al D,KF955406
DENV_1/KH/BID_V1988/2003,2003-01-01 (2003-01-01 - 2003-09-27),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639676
DENV_1/KH/BID_V1982/2001,2001-12-31 (2001-07-16 - 2001-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al C,JN819423
DENV_1/KH/BID_V1981/2001,2001-01-01 (2001-01-01 - 2001-06-11),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639671
DENV_1/KH/BID_V1986/2002,2002-12-31 (2002-02-21 - 2002-12-31),DENV1/I,Cambodia,Southeast Asia,,Zody et al D,KF955405
DENV_1/KH/BID_V1984/2001,2001-01-01 (2001-01-01 - 2001-09-20),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639673
DENV_1/VN/BID_V1885/2007,2007-12-31 (2007-04-22 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410231
DENV_1/VN/BID_V1647/2007,2007-06-01 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AD,FJ373297
DENV_1/VN/BID_V950/2007,2007-01-01 (2007-01-01 - 2007-10-01),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482495
DENV_1/KH/BID_V1987/2003,2003-01-01 (2003-01-01 - 2003-11-04),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639675
DENV_1/IPC/BID_V3925/2006,2006-05-19 (2006-01-01 - 2006-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al Y,GQ868639
DENV_1/IPC/BID_V3927/2006,2006-11-24 (2006-01-01 - 2006-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al B,GU131926
DENV_1/KH/BID_V1990/2003,2003-01-01 (2003-01-01 - 2003-10-11),DENV1/I,Cambodia,Southeast Asia,,?,GQ868618
DENV_1/VN/BID_V768/2003,2003-01-01 (2003-01-01 - 2003-10-01),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482790
DENV_1/VN/BID_V816/2006,2006-12-31 (2006-03-10 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482810
DENV_1/VN/BID_V788/2007,2007-01-01 (2007-01-01 - 2007-11-12),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482714
DENV_1/VN/BID_V834/2006,2006-12-31 (2006-05-05 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482828
DENV_1/VN/BID_V2776/2007,2007-12-31 (2007-02-28 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199799
DENV_1/VN/BID_V3877/2008,2008-01-01 (2008-01-01 - 2008-11-05),DENV1/I,Vietnam,Southeast Asia,,Zody et al E,KF921939
DENV_1/VN/BID_V4037/2008,2008-05-31 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131794
DENV_1/VN/BID_V804/2006,2006-07-24 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482798
DENV_1/VN/BID_V1322/2006,2006-12-31 (2006-05-07 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AE,EU660392
DENV_1/KH/BID_V1985/2002,2002-03-26 (2002-01-01 - 2002-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639674
DENV_1/VN/BID_V2870/2006,2006-01-01 (2006-01-01 - 2006-09-02),DENV1/I,Vietnam,Southeast Asia,,?,GQ199840
DENV_1/VN/BID_V2703/2006,2006-11-22 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AB,FJ882529
GZ/8513/D1/2011,2011-12-31 (2011-02-23 - 2011-12-31),DENV1/I,China,China,,?,KT827369
DENV_1/VN/BID_V2848/2005,2005-01-01 (2005-01-01 - 2005-05-10),DENV1/I,Vietnam,Southeast Asia,,Henn et al T,FJ898388
DENV_1/VN/BID_V983/2006,2006-11-04 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482527
DENV_1/VN/BID_V3940/2008,2008-01-28 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GU131734
DENV_1/VN/BID_V3852/2008,2008-01-01 (2008-01-01 - 2008-05-11),DENV1/I,Vietnam,Southeast Asia,,?,GU131688
DENV_1/VN/BID_V4052/2008,2008-12-31 (2008-09-24 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131805
DENV_1/VN/BID_V2907/2006,2006-04-12 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,?,FJ898422
DENV_1/VN/BID_V2904/2006,2006-06-29 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al T,FJ898419
DENV_1/VN/BID_V2688/2006,2006-11-22 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Zody et al E,KF921934
DENV_1/VN/BID_V2891/2006,2006-01-01 (2006-01-01 - 2006-06-26),DENV1/I,Vietnam,Southeast Asia,,?,FJ898411
DENV_1/VN/BID_V2900/2006,2006-09-23 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al T,FJ898417
2008/00475,8/5/2008,DENV1/I,France,Europe,,Berthet et al,HE795086
DENV_1/VN/BID_V810/2006,2006-03-01 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482804
DENV_1/VN/BID_V1879/2007,2007-08-14 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410227
DENV_1/VN/BID_V2820/2007,2007-12-31 (2007-04-06 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199826
DENV_1/VN/BID_V813/2006,2006-05-09 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482807
DENV_1/VN/BID_V2716/2006,2006-12-31 (2006-06-10 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AB,FJ882540
DENV_1/VN/BID_V1785/2007,2007-12-31 (2007-03-06 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al U,FJ432730
DENV_1/VN/BID_V1908/2008,2008-12-31 (2008-02-29 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410244
DENV_1/VN/BID_V808/2006,2006-04-18 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482802
DENV_1/VN/BID_V4069/2008,2008-12-31 (2008-04-05 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131818
DENV_1/VN/BID_V1319/2006,2006-08-24 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AE,EU660396
DENV_1/VN/BID_V826/2006,2006-11-11 (2006-01-01 - 2006-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al I,EU482820
DENV_1/VN/BID_V2787/2007,2007-01-01 (2007-01-01 - 2007-11-05),DENV1/I,Vietnam,Southeast Asia,,?,GQ199807
DENV_1/VN/BID_V3985/2008,2008-07-12 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131758
DENV_1/VN/BID_V3960/2008,2008-10-06 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131740
DENV_1/IPC/BID_V3918/2005,2005-12-31 (2005-03-09 - 2005-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al B,GU131923
DENV_1/KH/BID_V1993/2003,2003-01-01 (2003-01-01 - 2003-07-27),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639679
DENV_1/KH/BID_V2002/2006,2006-08-11 (2006-01-01 - 2006-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639686
DENV_1/KH/BID_V2001/2005,2005-12-31 (2005-03-15 - 2005-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al AC,FJ639685
DENV_1/VN/BID_V1823/2007,2007-01-09 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al U,FJ432745
DENV_1/VN/BID_V2817/2007,2007-07-09 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199825
DENV_1/VN/BID_V1870/2007,2007-12-28 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AF,FJ461319
SV594,7/15/2010,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849743
SV437,11/12/2009,DENV1/I,Laos,Southeast Asia,,Castonguay-Vanier et al (https://www.ncbi.nlm.nih.gov/pubmed/29377886),KY849720
DF1203,1/9/2012,DENV1/I,China,China,,Zhang et al B,KC759167
DENV_1/VN/BID_V1913/2008,2008-02-18 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410247
DENV_1/VN/BID_V4015/2008,2008-03-18 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GU131777
DENV_1/VN/BID_V3958/2008,2008-03-19 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al M,JF937608
DENV_1/VN/BID_V4078/2008,2008-09-15 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131826
DENV_1/KH/BID_V4249/2007,2007-01-01 (2007-01-01 - 2007-08-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al AG,HM181948
DENV_1/KH/BID_V3784/2007,2007-12-31 (2007-05-02 - 2007-12-31),DENV1/I,Cambodia,Southeast Asia,,Zody et al A,KF955444
DENV_1/KH/BID_V4236/2006,2006-03-09 (2006-01-01 - 2006-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al AG,HM181938
DENV_1/KH/BID_V4234/2006,2006-02-28 (2006-01-01 - 2006-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al AG,HM181936
DENV_1/IPC/BID_V3792/2008,2008-12-31 (2008-03-17 - 2008-12-31),DENV1/I,Cambodia,Southeast Asia,,Henn et al Y,GQ868632
DENV_1/8/Thailand/01/2013,2013-01-01 (2013-01-01 - 2013-01-28),DENV1/I,Thailand,Southeast Asia,,Plyasunova et al,KF887994
DENV_1/IPC/BID_V3787/2009,2009-01-01 (2009-01-01 - 2009-10-17),DENV1/I,Cambodia,Southeast Asia,,Henn et al B,GU131895
2013XN22388,8/13/2013,DENV1/I,China,China,,?,MN933652
KDH0323A_11/26/2012,11/26/2012,DENV1/I,Thailand,Southeast Asia,,?,MN448696
ZH398,2012-09-30 (2012-09-04 - 2012-09-30),DENV1/I,China,China,,Lin et al,KC131140
ZH415,2012-09-01 (2012-09-01 - 2012-09-27),DENV1/I,China,China,,Lin et al,KC131141
D1/SG/CT9/2012,2012-01-01 (2012-01-01 - 2012-10-24),DENV1/I,Singapore,Southeast Asia,,?,KX380798
Laos2012,2012-04-04 (2012-01-01 - 2012-12-31),DENV1/I,Laos,Southeast Asia,,Fontaine et al (https://www.ncbi.nlm.nih.gov/pubmed/30005085),MG877552
Thai2012,2012-12-31 (2012-07-28 - 2012-12-31),DENV1/I,Thailand,Southeast Asia,,Fontaine et al (https://www.ncbi.nlm.nih.gov/pubmed/30005085),MG877554
GD01/06,2006-12-31 (2006-06-27 - 2006-12-31),DENV1/I,China,China,,Wu et al A (https://www.ncbi.nlm.nih.gov/pubmed/21703015),FJ196843
DEN1/GZ/XNC,2006-01-01 (2006-01-01 - 2006-07-31),DENV1/I,China,China,,Chen et al C (https://www.ncbi.nlm.nih.gov/pubmed/21473933),FJ176780
DENV_1/VN/BID_V2754/2007,2007-02-25 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AH,GQ199778
DENV_1/VN/BID_V3876/2008,2008-06-16 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al B,GU131710
DENV_1/VN/BID_V1889/2007,2007-07-16 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al AF,FJ461325
DENV_1/VN/BID_V1791/2007,2007-12-31 (2007-07-26 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410197
DENV_1/VN/BID_V1961/2008,2008-01-01 (2008-01-01 - 2008-05-24),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410277
DENV_1/VN/BID_V2802/2007,2007-07-26 (2007-01-01 - 2007-12-31),DENV1/I,Vietnam,Southeast Asia,,?,GQ199819
DENV_1/VN/BID_V1958/2008,2008-10-06 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410275
DENV_1/VN/BID_V1972/2008,2008-07-18 (2008-01-01 - 2008-12-31),DENV1/I,Vietnam,Southeast Asia,,Henn et al E,FJ410285
DENV_1/VN/BID_V1798/2007,2007-01-01 (2007-01-01 - 2007-08-21),DENV1/I,Vietnam,Southeast Asia,,Henn et al U,FJ432737
