strain,date,url,clade_membership,country,region,age,age_range1,age_range2,age_range3,collab_country,date_added,symptom,author,accession
EVD68_SWE_029_160904_NFLG,2016-09-05,,B3,Sweden,Europe,8,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674130
EVD68_SWE_039_160831-2_NFLG,2016-09-01,,B3,Sweden,Europe,1,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674153
EVD68_SWE_039_160831-1_NFLG,2016-09-01,,B3,Sweden,Europe,1,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674127
EVD68_SWE_047_160913_NFLG,2016-09-14,,B3,Sweden,Europe,0,<1y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674139
EVD68_SWE_037_160829_NFLG,2016-08-30,,B3,Sweden,Europe,0,<1y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674149
EVD68_SWE_037_160830_NFLG,2016-08-31,,B3,Sweden,Europe,0,<1y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674150
EVD68_SWE_049_160823_NFLG,2016-08-24,,B3,Sweden,Europe,0,<1y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674117
USA/TX/2016-23280,2017-01-01 (2016-10-22 - 2017-01-01),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259109
CA-RGDS-1067,2017-03-01 (2017-03-01 - 2017-03-31),,B3,USA,North America,,,,,,1/22/2020,,"Pan,C.-Y., Huynh,T., Padilla,T., Chen,A., Castro,C.J., Marine,R.L., Ng,T.F.F., Nix,W.A., Morales,C. and Wadford,D.A.",MN365198
CA-RGDS-1066,2017-03-31 (2017-03-05 - 2017-03-31),,B3,USA,North America,,,,,,1/22/2020,,"Pan,C.-Y., Huynh,T., Padilla,T., Chen,A., Castro,C.J., Marine,R.L., Ng,T.F.F., Nix,W.A., Morales,C. and Wadford,D.A.",MN365197
USA/2016/CA-RGDS-1052,2016-09-12,,B3,USA,North America,,,,,,9/8/2019,,"Pan,C.-Y., Padilla,T., Huynh,T., Castro,C.J., Marine,R.L., Ng,T.F.F., Nix,W.A. and Wadford,D.A.",MN163000
take3,2018-09-01,,B3,Japan,Japan Korea,,,<18y,<18y,,9/8/2019,,"Takeuchi,S., Kawada,J., Horiba,K., Okuno,Y., Okumura,T., Suzuki,T., Torii,Y., Kawabe,S., Wada,S., Ikeyama,T. and Ito,Y.",LC495298
take4,2018-10-18,,B3,Japan,Japan Korea,,,<18y,<18y,,9/8/2019,,"Takeuchi,S., Kawada,J., Horiba,K., Okuno,Y., Okumura,T., Suzuki,T., Torii,Y., Kawabe,S., Wada,S., Ikeyama,T. and Ito,Y.",LC495299
EV-D68/Homosapiens/CHN/DZH-ZJUC/2018,2018-11-18,,B3,China,China,3,1-5y,<18y,<18y,,1/22/2020,,"Wang,Y., Zhao,Z., Gao,F. and Zhu,M.",MK614087
USA/MO/2016-23282,2016-07-05 (2016-01-02 - 2017-01-01),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259111
EVD68_SWE_034_160829_NFLG,2016-08-30,,B3,Sweden,Europe,1,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674146
USA/OH/2016-23291,2016-07-02 (2016-01-02 - 2017-01-01),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259120
USA/MO/2016-23283,2016-08-17 (2016-05-20 - 2016-12-03),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259112
NY75_16,2016-07-30,,B3,USA,North America,,,,,,7/15/2019,,"Huang,W., Yin,C., Zhuge,J., Farooq,T., Yoon,E.C., Sheila,N., Chen,D., Fallon,J.T. and Wang,G.",KX957762
USA/PA/2016-23289,2016-08-29 (2016-05-29 - 2017-01-01),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259118
USA/FL/2016-23279,2016-01-23 (2016-01-02 - 2016-04-09),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259108
USA/FL/2016-19504,2016-04-01,,B3,USA,North America,,,,,,7/15/2019,AFM,"Ng,T.F.F., Montmayeur,A., Castro,C.J., Rogers,S.L., Chern,S.-W., Maher,K., Magana,L., Marine,R., Lamson,D., St. George,K., Oberste,M.S. and Nix,W.A.",KX675261
USA/FL/2016-23278,2016-03-02 (2016-01-05 - 2016-05-21),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259107
USA/MO/2016-23284,2016-12-04 (2016-08-27 - 2017-01-01),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259113
CA-RGDS-1063,2016-07-01 (2016-06-06 - 2016-07-01),,B3,USA,North America,,,,,,1/22/2020,,"Pan,C.-Y., Huynh,T., Padilla,T., Chen,A., Castro,C.J., Marine,R.L., Ng,T.F.F., Nix,W.A., Morales,C. and Wadford,D.A.",MN365194
CA-RGDS-1065,2016-07-02 (2016-07-02 - 2016-07-27),,B3,USA,North America,,,,,,1/22/2020,,"Pan,C.-Y., Huynh,T., Padilla,T., Chen,A., Castro,C.J., Marine,R.L., Ng,T.F.F., Nix,W.A., Morales,C. and Wadford,D.A.",MN365196
CAN16-126,2016-04-26 (2016-01-02 - 2017-01-01),,B3,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Mandes,R., Huzarewich,R., Gusdal,M. and Booth,T.F.",KY042026
USA/TX/2016-19506,2016-06-25,,B3,USA,North America,,,,,,7/15/2019,AFM,"Ng,T.F.F., Montmayeur,A., Castro,C.J., Rogers,S.L., Chern,S.-W., Maher,K., Magana,L., Marine,R., Lamson,D., St. George,K., Oberste,M.S. and Nix,W.A.",KX675263
USA/CO/2016-23290,2016-09-29 (2016-07-08 - 2016-12-21),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259119
EVD68_SWE_013_160914_NFLG,2016-09-15,,B3,Sweden,Europe,8,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674165
EVD68_SWE_010_160909_NFLG,2016-09-10,,B3,Sweden,Europe,5,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674160
EVD68_SWE_035_160829_NFLG,2016-08-30,,B3,Sweden,Europe,1,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674147
EVD68_SWE_050_160829_NFLG,2016-08-30,,B3,Sweden,Europe,4,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674145
NY135_16,2016-08-14,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385881
NY188_16,2016-09-11,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385888
EVD68_SWE_040_160901_NFLG,2016-09-02,,B3,Sweden,Europe,20,18-64y,18-64y,>=18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674155
NY185_16,2016-09-10,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385887
USA/ME/2016-23286,2016-11-23 (2016-09-09 - 2017-01-01),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259115
NY230_16,2016-06-08,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385890
NY141_16,2016-08-17,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385882
NY172_16,2016-09-03,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385886
NY39_16,2016-07-18,,B3,USA,North America,,,,,,7/15/2019,,"Huang,W., Yin,C., Zhuge,J., Farooq,T., Yoon,E.C., Sheila,N., Chen,D., Fallon,J.T. and Wang,G.",KX957758
EVD68_SWE_055_160907_NFLG,2016-09-08,,B3,Sweden,Europe,58,18-64y,18-64y,>=18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674134
EVD68_SWE_019_160824_NFLG,2016-08-25,,B3,Sweden,Europe,31,18-64y,18-64y,>=18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674119
EVD68_SWE_056_160905_NFLG,2016-09-06,,B3,Sweden,Europe,2,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674158
EVD68_SWE_046_160904_NFLG,2016-09-05,,B3,Sweden,Europe,5,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674131
USA/2016/CA-RGDS-1053,2016-08-16,,B3,USA,North America,,,,,,9/8/2019,AFM,"Pan,C.-Y., Padilla,T., Huynh,T., Chen,A., Castro,C.J., Marine,R.L., Ng,T.F.F., Nix,W.A. and Wadford,D.A.",MN173591
NY166_16,2016-08-31,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385885
USA/MO/2016-23281,2016-10-09 (2016-08-22 - 2016-12-09),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259110
EVD68_SWE_024_160831_NFLG,2016-09-01,,B3,Sweden,Europe,6,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674154
EVD68_SWE_024_160830_NFLG,2016-08-31,,B3,Sweden,Europe,6,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674124
EVD68_SWE_021_160904_NFLG,2016-09-05,,B3,Sweden,Europe,0,<1y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674129
EVD68_SWE_021_160828_NFLG,2016-08-29,,B3,Sweden,Europe,0,<1y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674121
EVD68_SWE_032_160825_NFLG,2016-08-26,,B3,Sweden,Europe,2,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674142
EVD68_SWE_044_160910_NFLG,2016-09-11,,B3,Sweden,Europe,3,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674162
EVD68_SWE_038_160830_NFLG,2016-08-31,,B3,Sweden,Europe,7,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674151
EV-D68_STL_2016_20,2016-05-11 (2016-01-02 - 2017-01-01),,B3,USA,North America,,,,,,7/15/2019,,"Wylie,K.M., Wylie,T.N. and Storch,G.A.",KY292526
EVD68_SWE_011_160909_NFLG,2016-09-10,,B3,Sweden,Europe,1,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674161
16V0908R2,2016-06-09,,B3,France,Europe,3.14,1-5y,<18y,<18y,,,,"Bal, A. et al.",MK105980
USA/PA/2016-23285,2016-08-18 (2016-06-01 - 2016-12-02),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259114
NY212_16,2016-06-29,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385889
NY29_16,2016-07-14,,B3,USA,North America,,,,,,7/15/2019,,"Huang,W., Yin,C., Zhuge,J., Farooq,T., Yoon,E.C., Sheila,N., Chen,D., Fallon,J.T. and Wang,G.",KX957756
NY43_16,2016-07-19,,B3,USA,North America,,,,,,7/15/2019,,"Huang,W., Yin,C., Zhuge,J., Farooq,T., Yoon,E.C., Sheila,N., Chen,D., Fallon,J.T. and Wang,G.",KX957759
USA/SC/2016-23288,2016-12-05 (2016-09-15 - 2017-01-01),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Castro,C.J., Reynolds,E. and Nix,W.A.",MN259117
NY30_16,2016-07-18,,B3,USA,North America,,,,,,7/15/2019,,"Huang,W., Yin,C., Zhuge,J., Farooq,T., Yoon,E.C., Sheila,N., Chen,D., Fallon,J.T. and Wang,G.",KX957757
NY44_16,2016-07-24,,B3,USA,North America,,,,,,7/15/2019,,"Huang,W., Yin,C., Zhuge,J., Farooq,T., Yoon,E.C., Sheila,N., Chen,D., Fallon,J.T. and Wang,G.",KX957760
NY126_16,2016-08-11,,B3,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhuge,J., Huang,W., Nolan,S.M., Gilrane,V.L., Yin,C., Dimitrova,N. and Fallon,J.T.",KY385880
EVD68_SWE_028_160904_NFLG,2016-09-05,,B3,Sweden,Europe,2,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674128
EVD68_SWE_026_160831_NFLG,2016-09-01,,B3,Sweden,Europe,0,<1y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674126
EVD68_SWE_053_160916_NFLG,2016-09-17,,B3,Sweden,Europe,0,<1y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674166
EVD68_SWE_022_160828_NFLG,2016-08-29,,B3,Sweden,Europe,29,18-64y,18-64y,>=18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674122
EVD68_SWE_007_160909_NFLG,2016-09-10,,B3,Sweden,Europe,45,18-64y,18-64y,>=18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674135
EVD68_SWE_045_160831_NFLG,2016-09-01,,B3,Sweden,Europe,8,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674152
EVD68_SWE_027_160901_NFLG,2016-09-02,,B3,Sweden,Europe,1,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH844544
EVD68_SWE_031_160822_NFLG,2016-08-23,,B3,Sweden,Europe,2,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674141
16V1106R2,2016-06-11,,B3,France,Europe,5.61,1-5y,<18y,<18y,,,,"Bal, A. et al.",MK105981
EVD68_SWE_012_160911_NFLG,2016-09-12,,B3,Sweden,Europe,6,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,AFM,"Dyrdak, R. et al.",MH674163
EVD68_SWE_012_160913_NFLG,2016-09-14,,B3,Sweden,Europe,6,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,AFM,"Dyrdak, R. et al.",MH674164
EVD68_SWE_023_160830_NFLG,2016-08-31,,B3,Sweden,Europe,2,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674123
EVD68_SWE_036_160829_NFLG,2016-08-30,,B3,Sweden,Europe,1,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674148
EVD68_ESP_008_180926_NFLG,2018-09-26,,B3,Spain,Europe,0.38,<1y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245419
EVD68_CHE_005_180926_NFLG,2018-09-26,,B3,Switzerland,Europe,66,>=65y,>=65y,>=18y,Basel Switzerland,9/9/2019,,"Hodcroft, E. B. et al.",MN245410
EVD68_NLD_002_180912_NFLG,2018-09-12,,B3,Netherlands,Europe,26,18-64y,18-64y,>=18y,Groningen Netherlands,9/9/2019,,"Hodcroft, E. B. et al.",MN245435
EVD68_NLD_005_180927_NFLG,2018-09-27,,B3,Netherlands,Europe,4,1-5y,<18y,<18y,Groningen Netherlands,9/9/2019,,"Hodcroft, E. B. et al.",MN245438
EVD68_NLD_010_181023_NFLG,2018-10-23,,B3,Netherlands,Europe,3,1-5y,<18y,<18y,Groningen Netherlands,9/9/2019,,"Hodcroft, E. B. et al.",MN245443
EVD68_BEL_007_181009_NFLG,2018-10-09,,B3,Belgium,Europe,3.33,1-5y,<18y,<18y,Leuven Belgium,9/9/2019,,"Hodcroft, E. B. et al.",MN245402
EVD68_ESP_017_181020_NFLG,2018-10-20,,B3,Spain,Europe,0.08,<1y,<18y,<18y,Tenerife Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245428
EVD68_ESP_015_180831_NFLG,2018-08-31,,B3,Spain,Europe,3,1-5y,<18y,<18y,Tenerife Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245426
EVD68_ESP_020_181105_NFLG,2018-11-05,,B3,Spain,Europe,2,1-5y,<18y,<18y,Tenerife Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245431
VRES189539,2018-09-10,,B3,France,Europe,0.16,<1y,<18y,<18y,,,,"Bal, A. et al.",MK105985
VRES189536,2018-09-09,,B3,France,Europe,16.96,6-17y,<18y,<18y,,,,"Bal, A. et al.",MK105984
VRES189236,2018-08-18,,B3,France,Europe,1.32,1-5y,<18y,<18y,,,,"Bal, A. et al.",MK105983
EVD68_ESP_005_180922_NFLG,2018-09-22,,B3,Spain,Europe,0.14,<1y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245416
VRES189627,2018-09-14,,B3,France,Europe,4.26,1-5y,<18y,<18y,,,,"Bal, A. et al.",MK105988
ENTSP_RS1_00001,2018-09-30 (2018-09-05 - 2018-09-30),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659588
USA/CO/2018-23165,2018-10-25 (2018-08-23 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245987
USA/IL/2018-23252,2018-05-29 (2018-01-01 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246015
ENTSP_RS1_00002,2018-09-30 (2018-09-05 - 2018-09-30),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659589
ENTSP_RS1_00017,2018-09-03 (2018-09-01 - 2018-09-30),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659595
USA/CO/2018-23166,2018-07-26 (2018-01-01 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245988
USA/OH/2018-23257,2018-07-24 (2018-01-01 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246020
USA/OH/2018-23258,2018-09-07 (2018-01-01 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246021
USA/OH/2018-23261,2018-08-18 (2018-01-01 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246024
USA/OH/2018-23260,2018-10-25 (2018-07-19 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246023
USA/MD/2018-23206,2018-08-13 (2018-01-01 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245999
ENTSP_RS1_00006,2018-09-30 (2018-09-05 - 2018-09-30),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659591
ENTSP_RS1_00009,2018-09-10 (2018-09-01 - 2018-09-30),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659593
ENTSP_RS1_00023,2018-08-31 (2018-08-06 - 2018-08-31),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659599
ENTSP_RS1_00031,2018-08-31 (2018-08-07 - 2018-08-31),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659602
USA/NY/2018-23215,2018-09-06 (2018-01-01 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246008
USA/NY/2018-23216,2018-08-25 (2018-01-01 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246009
USA/CO/2018-23163,2018-04-20 (2018-01-01 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245985
USA/CO/2018-23164,2018-06-09 (2018-01-01 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245986
USA/OH/2018-23253,2018-09-27 (2018-01-01 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246016
ENTSP_RS1_00003,2018-08-31 (2018-08-05 - 2018-08-31),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659590
USA/CO/2018-23182,2018-12-23 (2018-09-21 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245989
USA/NE/2018-23210,2018-11-20 (2018-08-26 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246003
ENTSP_RS1_00042,2018-08-31 (2018-08-06 - 2018-08-31),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659604
USA/OK/2018-23200,2018-09-23 (2018-07-05 - 2018-12-24),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245993
USA/KY/2018-23198,2018-10-11 (2018-07-28 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245991
USA/MD/2018-23209,2018-10-31 (2018-08-10 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246002
ENTSP_RS1_00026,2018-08-31 (2018-08-05 - 2018-08-31),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659600
USA/AL/2018-23212,2018-07-29 (2018-05-04 - 2018-11-16),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246005
USA/TX/2018-23208,2018-12-31 (2018-10-23 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246001
ENTSP_RS1_00019,2018-09-30 (2018-09-05 - 2018-09-30),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659597
USA/2018/CA-RGDS-1056,2018-11-22,,B3,USA,North America,,,,,,9/8/2019,AFM,"Pan,C.-Y., Padilla,T., Huynh,T., Chen,A., Castro,C.J., Marine,R.L., Ng,T.F.F., Nix,W.A. and Wadford,D.A.",MN173594
ENTSP_RS1_00014,2018-08-31 (2018-08-09 - 2018-08-31),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659594
ENTSP_RS1_00035,2018-09-01 (2018-09-01 - 2018-09-25),,B3,USA,North America,,,,,,,,"Pakala,S.B., Tan,Y., Hassan,F., Selvarangan,R., Mai,A., Markowitz,R.H., Shilts,M.H., Rajagopala,S.V. and Das,S.R.",MK659603
USA/PA/2018-23203,2018-10-10 (2018-07-19 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN245996
USA/TN/2018-23213,2018-08-14 (2018-06-06 - 2018-11-26),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246006
USA/OH/2018-23256,2018-07-21 (2018-05-24 - 2018-10-02),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246019
USA/AZ/2018-23214,2018-12-31 (2018-10-17 - 2018-12-31),,B3,USA,North America,,,,,,9/8/2019,AFM,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246007
USA/OH/2018-23254,2018-07-14 (2018-05-21 - 2018-09-25),,B3,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Reynolds,E., Castro,C.J. and Nix,W.A.",MN246017
USA/2018-23088,2018-08-31 (2018-08-08 - 2018-08-31),,B3,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Castro,C.J., Schmidt,A., Reynolds,E., Chern,S.-W.W., Ciomperlik,J. and Nix,W.A.",MK491181
