strain,date,S1_mutations,clade_membership,country,current_frequency,division,emerging_lineage,epiweek,accession,host,mutational_fitness,pango_lineage,recency,region,url,author,originating_lab,submitting_lab,logistic_growth
HongKong/HKPU-HKU-HD-Case-9/2022,1/22/2022,12,21J (Delta),Hong Kong,0,Hong Kong,21J (Delta),202203,OM475732,Homo sapiens,1,AY.127,One month ago,Asia,,Kok et al T,,,-13.85
HongKong/HKPU-HKU-HD-Case-25/2022,1/25/2022,12,21J (Delta),Hong Kong,0,Hong Kong,21J (Delta),202204,OM475739,Homo sapiens,1,AY.127,One month ago,Asia,,Kok et al U,,,-13.85
BHR/21922017525/2021,11/29/2021,8,21J (Delta),Bahrain,,Bahrain,21J (Delta),202148,OL721999,Homo sapiens,0.91,AY.102,Older,Asia,,Alwasti et al DR,,,
BHR/21921887727/2021,11/10/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202145,OL454187,Homo sapiens,0.89,AY.4.2.4,Older,Asia,,Alwasti et al DS,,,
BHR/21921889403/2021,11/10/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202145,OL477562,Homo sapiens,0.86,AY.112,Older,Asia,,Alwasti et al DT,,,
BHR/21921956306_S25_L001/2021,11/23/2021,7,21J (Delta),Bahrain,,Bahrain,21J (Delta),202147,OL659047,Homo sapiens,0.82,AY.122,Older,Asia,,Alwasti et al DU,,,
BHR/21342766261/2021,11/22/2021,8,21J (Delta),Bahrain,,Bahrain,21J (Delta),202147,OL719195,Homo sapiens,0.9,AY.117,Older,Asia,,Alwasti et al DV,,,
BHR/21921877838/2021,11/8/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202145,OL454161,Homo sapiens,0.85,AY.106,Older,Asia,,Alwasti et al DW,,,
BHR/21921988523/2021,11/25/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202147,OL719173,Homo sapiens,0.87,AY.102,Older,Asia,,Alwasti et al DX,,,
Denmark/DCGC-195766/2021,10/27/2021,10,21J (Delta),Denmark,,Hovedstaden,21J (Delta),202143,OV825223,Homo sapiens,0.85,AY.33,One month ago,Europe,,Danish Covid-19 Genome et al,"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",statens serum institut and the danish covid19 genome consortium (dcgc),
BHR/21921833836_S93_L001/2021,11/1/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202144,OL374158,Homo sapiens,0.8,AY.33,Older,Asia,,Alwasti et al DY,,,
BHR/21921831951_S20_L001/2021,11/6/2021,8,21J (Delta),Bahrain,,Bahrain,21J (Delta),202144,OL441459,Homo sapiens,0.83,AY.39,Older,Asia,,Alwasti et al DZ,,,
BHR/21342777672/2021,11/26/2021,8,21J (Delta),Bahrain,,Bahrain,21J (Delta),202147,OL719222,Homo sapiens,0.85,AY.112,Older,Asia,,Alwasti et al EA,,,
USA/ND-CDC-2-4813390/2021,8/9/2021,9,21J (Delta),USA,,North Dakota,21J (Delta),202132,OK046084,Homo sapiens,0.85,AY.118,Older,North America,,Sheth et al Z,,,
COM/SS3796/2021,10/24/2021,8,21J (Delta),Union of the Comoros,,Union of the Comoros,21J (Delta),202143,OL691601,Homo sapiens,0.66,AY.118,Older,Africa,,Githinji et al CG,,,
COM/SS3797/2021,10/26/2021,9,21J (Delta),Union of the Comoros,,Union of the Comoros,21J (Delta),202143,OL691594,Homo sapiens,0.86,AY.118,Older,Africa,,Githinji et al CH,,,
OV114918,10/29/2021,9,21J (Delta),Germany,,North Rhine Westphalia,21J (Delta),202143,OV114918,Homo sapiens,0.86,AY.102,Older,Europe,,? A,"SYNLAB MVZ Leverkusen, Paracelsusstraße 13; 51375 Leverkusen",Robert Koch Institute,
USA/NM-CDC-QDX30566525/2021,10/28/2021,9,21J (Delta),USA,,New Mexico,21J (Delta),202143,OL489876,Homo sapiens,0.88,AY.113,Older,North America,,Howard et al GT,Quest Diagnostics Incorporated,CDC-OAMD,
DOM/1575494/2021,12/6/2021,9,21J (Delta),Dominican Republic,,Dominican Republic,21J (Delta),202149,OM248579,Homo sapiens,0.87,AY.33,Older,North America,,Sanchez et al A,,,
BHR/21922071056_S11_L001/2021,12/8/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202149,OM067038,Homo sapiens,0.83,B.1.617.2,Older,Asia,,Alwasti et al EB,,,
BHR/21350269562/2021,10/28/2021,8,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL336627,Homo sapiens,0.91,B.1.617.2,Older,Asia,,Alwasti et al EC,,,
BHR/21921794793/2021,10/28/2021,8,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL336643,Homo sapiens,0.91,B.1.617.2,Older,Asia,,Alwasti et al ED,,,
CHL/AR-UFRO-0450/2021,11/13/2021,9,21J (Delta),Chile,,Chile,21J (Delta),202145,OM146426,Homo sapiens,0.85,AY.101,One month ago,South America,,Leyton-Carcaman et al Y,,,
CHL/AR-UFRO-0460/2021,11/18/2021,8,21J (Delta),Chile,,Chile,21J (Delta),202146,OM146435,Homo sapiens,0.85,AY.101,One month ago,South America,,Leyton-Carcaman et al Z,,,
CHL/AR-UFRO-0400/2021,11/6/2021,8,21J (Delta),Chile,,Chile,21J (Delta),202144,OM146376,Homo sapiens,0.84,AY.101,One month ago,South America,,Leyton-Carcaman et al AA,,,
CHL/AR-UFRO-0421/2021,11/6/2021,8,21J (Delta),Chile,,Chile,21J (Delta),202144,OM146397,Homo sapiens,0.84,AY.101,One month ago,South America,,Leyton-Carcaman et al AB,,,
CHL/AR-UFRO-0343/2021,10/25/2021,8,21J (Delta),Chile,,Chile,21J (Delta),202143,OM146329,Homo sapiens,0.85,AY.101,One month ago,South America,,Leyton-Carcaman et al AC,,,
CHL/AR-UFRO-0422/2021,11/6/2021,8,21J (Delta),Chile,,Chile,21J (Delta),202144,OM146398,Homo sapiens,0.85,AY.101,One month ago,South America,,Leyton-Carcaman et al AD,,,
CHL/AR-UFRO-0439/2021,11/10/2021,8,21J (Delta),Chile,,Chile,21J (Delta),202145,OM146415,Homo sapiens,0.85,AY.101,One month ago,South America,,Leyton-Carcaman et al AE,,,
CHL/AR-UFRO-0454/2021,11/14/2021,8,21J (Delta),Chile,,Chile,21J (Delta),202146,OM146430,Homo sapiens,0.85,AY.101,One month ago,South America,,Leyton-Carcaman et al AF,,,
BHR/21921911102/2021,11/13/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202145,OL477503,Homo sapiens,0.86,AY.100,Older,Asia,,Alwasti et al EE,,,
USA/OK-CDC-ASC210496547/2021,10/25/2021,8,21J (Delta),USA,,Oklahoma,21J (Delta),202143,OL484383,Homo sapiens,0.87,AY.100,Older,North America,,Howard et al GU,Aegis Sciences Corporation,CDC-OAMD,
USA/IL-CDC-ASC210627967/2021,12/16/2021,9,21J (Delta),USA,,Illinois,21J (Delta),202150,OM079668,Homo sapiens,0.87,AY.100,Older,North America,,Howard et al GV,Aegis Sciences Corporation,CDC-OAMD,
USA/AZ-CDC-ASC210639170/2021,12/23/2021,11,21J (Delta),USA,0,Arizona,21J (Delta),202151,OM198996,Homo sapiens,0.89,AY.100,Older,North America,,Howard et al GW,Aegis Sciences Corporation,CDC-OAMD,
USA/PA-BOL-M21163403/2021,12/9/2021,9,21J (Delta),USA,,Pennsylvania,21J (Delta),202149,OM101207,Homo sapiens,0.85,AY.100,Older,North America,,Xia et al,Pennsylvania Department of Health Bureau of Laboratories,PA Department of Health Bureau of Laboratories Submission Group,
USA/NV-CDC-2-5128924/2021,10/26/2021,9,21J (Delta),USA,,Nevada,21J (Delta),202143,OL520248,Homo sapiens,0.88,AY.100,Older,North America,,Sheth et al AA,NV-Southern Nevada Public Health Laboratory,CDC DVD Genomics and DIscovery Team,
USA/AR-CDC-QDX32456720/2021,12/29/2021,9,21J (Delta),USA,0,Arkansas,21J (Delta),202152,OM310250,Homo sapiens,0.86,AY.100,Older,North America,,Howard et al GX,Quest Diagnostics Incorporated,CDC-OAMD,-19.56
CHL/AR-UFRO-0401/2021,11/6/2021,9,21J (Delta),Chile,,Chile,21J (Delta),202144,OM146377,Homo sapiens,0.87,AY.100,One month ago,South America,,Leyton-Carcaman et al AG,,,
CHL/AR-UFRO-0403/2021,11/6/2021,9,21J (Delta),Chile,,Chile,21J (Delta),202144,OM146379,Homo sapiens,0.87,AY.100,One month ago,South America,,Leyton-Carcaman et al AH,,,
USA/ND-CDC-IBX520533064934/2021,10/28/2021,7,21J (Delta),USA,,North Dakota,21J (Delta),202143,OL503216,Homo sapiens,0.85,AY.100,Older,North America,,Howard et al GY,Infinity Biologix,CDC-OAMD,
DJI/NAMRU3_G907/2021,12/6/2021,9,21J (Delta),Djibouti,,Djibouti,21J (Delta),202149,OM635146,Homo sapiens,0.87,AY.100,One month ago,Africa,,Voegtly et al DM,,,
BHR/21921538098_S75_L001/2021,9/17/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202137,OK254119,Homo sapiens,0.79,AY.102,Older,Asia,,Alwasti et al EF,,,
BGD/Laila_484/2021,11/14/2021,10,21J (Delta),Bangladesh,,Bangladesh,21J (Delta),202146,OM090139,Homo sapiens,0.84,AY.122,Older,Asia,,Banu et al AB,,,
BGD/Laila_486/2021,11/14/2021,11,21J (Delta),Bangladesh,,Bangladesh,21J (Delta),202146,OM090130,Homo sapiens,0.96,AY.112,Older,Asia,,Banu et al AC,,,
BGD/Laila_503/2021,11/14/2021,10,21J (Delta),Bangladesh,,Bangladesh,21J (Delta),202146,OM090131,Homo sapiens,0.95,AY.131,Older,Asia,,Banu et al AD,,,
BGD/Laila_490/2021,11/14/2021,11,21J (Delta),Bangladesh,,Bangladesh,21J (Delta),202146,OM090137,Homo sapiens,0.96,AY.39,Older,Asia,,Banu et al AE,,,
BGD/Laila_695/2022,1/1/2022,11,21J (Delta),Bangladesh,0,Bangladesh,21J (Delta),202152,OM277498,Homo sapiens,1.01,AY.131,Older,Asia,,Banu et al AF,,,-19.17
BGD/Laila_783/2022,1/14/2022,10,21J (Delta),Bangladesh,0,Bangladesh,21J (Delta),202202,OM533391,Homo sapiens,0.95,AY.131,One month ago,Asia,,Banu et al AG,,,-19.17
BGD/Laila_502/2021,11/14/2021,11,21J (Delta),Bangladesh,,Bangladesh,21J (Delta),202146,OM090136,Homo sapiens,0.97,AY.131,Older,Asia,,Banu et al AH,,,
BHR/21921819264/2021,10/31/2021,10,21J (Delta),Bahrain,,Bahrain,21J (Delta),202144,OL336707,Homo sapiens,0.82,AY.33,Older,Asia,,Alwasti et al EG,,,
BHR/21350269628/2021,10/30/2021,10,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL336628,Homo sapiens,0.82,AY.33,Older,Asia,,Alwasti et al EH,,,
BHR/21921819633_S13_L001/2021,11/1/2021,10,21J (Delta),Bahrain,,Bahrain,21J (Delta),202144,OL374133,Homo sapiens,0.81,AY.33,Older,Asia,,Alwasti et al EI,,,
BHR/21342739000/2021,11/11/2021,11,21J (Delta),Bahrain,,Bahrain,21J (Delta),202145,OL477540,Homo sapiens,0.81,AY.33,Older,Asia,,Alwasti et al EJ,,,
BHR/21100204649_S45_L001/2021,11/20/2021,10,21J (Delta),Bahrain,,Bahrain,21J (Delta),202146,OL659129,Homo sapiens,0.82,AY.33,Older,Asia,,Alwasti et al EK,,,
BHR/21342789601_S61_L001/2021,12/1/2021,10,21J (Delta),Bahrain,,Bahrain,21J (Delta),202148,OL845838,Homo sapiens,0.82,AY.33,Older,Asia,,Alwasti et al EL,,,
BHR/21921808001/2021,10/30/2021,10,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL336674,Homo sapiens,0.82,AY.33,Older,Asia,,Alwasti et al EM,,,
BHR/21921795542_S63_L001/2021,10/26/2021,10,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL321692,Homo sapiens,0.82,AY.33,Older,Asia,,Alwasti et al EN,,,
BHR/21921837867_S37_L001/2021,11/6/2021,10,21J (Delta),Bahrain,,Bahrain,21J (Delta),202144,OL441411,Homo sapiens,0.82,AY.33,Older,Asia,,Alwasti et al EO,,,
BHR/21600234377_S58_L001/2021,10/26/2021,10,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL321658,Homo sapiens,0.82,AY.33,Older,Asia,,Alwasti et al EP,,,
Switzerland/ZH-UZH-IMV-3ba4bf7d/2021,7/7/2021,10,21J (Delta),Switzerland,,Zürich,21J (Delta),202127,OU571835,Homo sapiens,0.85,AY.120.2.1,Older,Europe,,? CJ,"UniversitätsSpital Zürich, Zürich, Switzerland","Institute of Medical Virology, Zürich, Switzerland",
England/MILK-2C89CEB/2021,11/29/2021,10,21J (Delta),United Kingdom,,England,21J (Delta),202148,OV436100,Homo sapiens,0.85,AY.120,Older,Europe,,The Lighthouse Lab in Milton et al B,Lighthouse Lab in Milton Keynes,Wellcome Sanger Institute,
England/ALDP-28C5537/2021,10/29/2021,9,21J (Delta),United Kingdom,,England,21J (Delta),202143,OV027920,Homo sapiens,0.86,AY.120,Older,Europe,,Wynn et al A,Lighthouse Lab in Alderley Park,Wellcome Sanger Institute,
DJI/NAMRU3_IT004/2021,10/16/2021,9,21J (Delta),Djibouti,,Djibouti,21J (Delta),202141,OL640830,Homo sapiens,0.85,AY.120,Older,Africa,,Arnold et al Q,,,
Liechtenstein/FL-Risch-21B1107129/2021,11/8/2021,9,21J (Delta),Liechtenstein,,Liechtenstein,21J (Delta),202145,OV064483,Homo sapiens,0.85,AY.120,Older,Europe,,? CK,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",Dr. Risch,
Liechtenstein/FL-Risch-21C1612507/2021,12/11/2021,9,21J (Delta),Liechtenstein,,Liechtenstein,21J (Delta),202149,OV453103,Homo sapiens,0.85,AY.120,Older,Europe,,? CL,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",Dr. Risch,
OV077965,10/25/2021,9,21J (Delta),Slovakia,,Slovakia,21J (Delta),202143,OV077965,Homo sapiens,0.89,B.1.617.2,Older,Europe,,? N,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia",Public Health Authority of the Slovak Republic,
OV133352,11/9/2021,8,21J (Delta),Slovakia,,Slovakia,21J (Delta),202145,OV133352,Homo sapiens,0.88,AY.4,Older,Europe,,? N,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
BHR/21921773376/2021,10/26/2021,11,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL305033,Homo sapiens,0.88,AY.127,Older,Asia,,Alwasti et al EQ,,,
BHR/21921809928/2021,10/30/2021,11,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL336685,Homo sapiens,0.88,AY.127,Older,Asia,,Alwasti et al ER,,,
DJI/NAMRU3_C675/2021,6/30/2021,8,21J (Delta),Djibouti,,Djibouti,21J (Delta),202126,OL640778,Homo sapiens,0.8,AY.44,Older,Africa,,Arnold et al R,,,
USA/TX-CDC-ASC210205779/2021,7/31/2021,7,21J (Delta),USA,,Texas,21J (Delta),202130,OK013883,Homo sapiens,0.82,AY.44,Older,North America,,Howard et al GZ,,,
USA/MA-CDCBI-CRSP_65VWEPZY7SECZKGH/2021,8/30/2021,9,21J (Delta),USA,,Massachusetts,21J (Delta),202135,OK087899,Homo sapiens,0.84,AY.44,Older,North America,,Lemieux et al N,Broad Institute Clinical Research Sequencing Platform,Broad Institute Genomic Center for Infectious Diseases,
USA/IN-CDC-ASC210447469/2021,10/29/2021,9,21J (Delta),USA,,Indiana,21J (Delta),202143,OL564312,Homo sapiens,0.79,AY.44,Older,North America,,Howard et al HA,Aegis Sciences Corporation,CDC-OAMD,
USA/AS-CDC-FG-188657/2021,12/3/2021,8,21J (Delta),USA,,American Samoa,21J (Delta),202148,OL856948,Homo sapiens,0.81,AY.44,Older,North America,,Howard et al HB,Fulgent Genetics,CDC-OAMD,
USA/IL-CDC-ASC210392876/2021,11/8/2021,8,21J (Delta),USA,,Illinois,21J (Delta),202145,OL651907,Homo sapiens,0.8,AY.44,Older,North America,,Howard et al HC,Aegis Sciences Corporation,CDC-OAMD,
USA/ID-CDC-ASC210537524/2021,12/15/2021,8,21J (Delta),USA,,Idaho,21J (Delta),202150,OM050816,Homo sapiens,0.74,AY.44,Older,North America,,Howard et al HD,Aegis Sciences Corporation,CDC-OAMD,
USA/MP-CDC-2-4634175/2021,6/28/2021,8,21J (Delta),USA,,Northern Mariana Islands,21J (Delta),202126,MZ702195,Homo sapiens,0.8,AY.44,Older,North America,,Sheth et al AB,,,
USA/AK-PHL15290/2021,11/10/2021,7,21J (Delta),USA,,Alaska,21J (Delta),202145,OL658963,Homo sapiens,0.79,AY.44,Older,North America,,House et al,,,
PLW/PW-CDC-2-5064370/2021,8/20/2021,9,21J (Delta),Palau,,Palau,21J (Delta),202133,OL607061,Homo sapiens,0.8,AY.44,Older,Oceania,,Sheth et al AC,Belau National Hospital,CDC DVD Genomics and DIscovery Team,
USA/NV-CDC-ASC210639163/2021,12/22/2021,8,21J (Delta),USA,0,Nevada,21J (Delta),202151,OM173040,Homo sapiens,0.8,AY.44,Older,North America,,Howard et al HE,Aegis Sciences Corporation,CDC-OAMD,
USA/ID-CDC-ASC210712585/2021,11/26/2021,8,21J (Delta),USA,,Idaho,21J (Delta),202147,OL945237,Homo sapiens,0.84,AY.44,Older,North America,,Howard et al HF,Aegis Sciences Corporation,CDC-OAMD,
USA/TX-CDC-FG-166079/2021,11/10/2021,8,21J (Delta),USA,,Texas,21J (Delta),202145,OL509149,Homo sapiens,0.8,AY.44,Older,North America,,Howard et al HG,Fulgent Genetics,CDC-OAMD,
USA/AL-CDC-FG-220883/2021,12/17/2021,8,21J (Delta),USA,,Alabama,21J (Delta),202150,OM149922,Homo sapiens,0.8,AY.44,Older,North America,,Howard et al HH,Fulgent Genetics,CDC-OAMD,
USA/MA-CDCBI-CRSP_ZNEYGEIAOGNSERBM/2021,12/3/2021,9,21J (Delta),USA,,Massachusetts,21J (Delta),202148,OL881039,Homo sapiens,0.82,AY.44,Older,North America,,Lemieux et al O,Broad Institute Clinical Research Sequencing Platform,Broad Institute Genomic Center for Infectious Diseases,
USA/SC-COVID21-5948/2021,10/25/2021,7,21J (Delta),USA,,South Carolina,21J (Delta),202143,OM218798,Homo sapiens,0.84,AY.44,Older,North America,,Freeman et al,,,
USA/IN-CDC-STM-FPFPVZCRG/2021,12/11/2021,9,21J (Delta),USA,,Indiana,21J (Delta),202149,OM101418,Homo sapiens,0.8,AY.44,Older,North America,,Howard et al HI,,,
USA/ND-CDC-MMB09530737/2021,7/30/2021,8,21J (Delta),USA,,North Dakota,21J (Delta),202130,MZ873752,Homo sapiens,0.83,AY.44,Older,North America,,Howard et al HJ,,,
USA/NH-CDC-QDX30567940/2021,10/30/2021,8,21J (Delta),USA,,New Hampshire,21J (Delta),202143,OL504454,Homo sapiens,0.79,AY.44,Older,North America,,Howard et al HK,Quest Diagnostics Incorporated,CDC-OAMD,
USA/CA-CDC-LC0415856/2021,11/28/2021,8,21J (Delta),USA,,California,21J (Delta),202148,OL881427,Homo sapiens,0.86,AY.44,Older,North America,,Howard et al HL,Laboratory Corporation of America,CDC-OAMD,
USA/AZ-CDC-STM-88ANRBBKK/2021,11/9/2021,9,21J (Delta),USA,,Arizona,21J (Delta),202145,OL648988,Homo sapiens,0.82,AY.44,Older,North America,,Howard et al HM,'Helix',CDC-OAMD,
USA/UT-CDC-LC0366596/2021,10/30/2021,8,21J (Delta),USA,,Utah,21J (Delta),202143,OL557202,Homo sapiens,0.85,AY.44,Older,North America,,Howard et al HN,Laboratory Corporation of America,CDC-OAMD,
USA/ID-CDC-2-5173902/2021,10/31/2021,8,21J (Delta),USA,,Idaho,21J (Delta),202144,OL743842,Homo sapiens,0.85,AY.44,Older,North America,,Sheth et al AD,ID Bureau of Laboratories,CDC DVD Genomics and DIscovery Team,
USA/OR-CDC-QDX32105055/2021,12/15/2021,8,21J (Delta),USA,,Oregon,21J (Delta),202150,OM146960,Homo sapiens,0.83,AY.44,Older,North America,,Howard et al HO,Quest Diagnostics Incorporated,CDC-OAMD,
USA/MN-CDC-IBX478434597874/2021,10/19/2021,7,21J (Delta),USA,,Minnesota,21J (Delta),202142,OL361048,Homo sapiens,0.83,AY.44,Older,North America,,Howard et al HP,,,
USA/MA-CDC-LC0363540/2021,10/29/2021,8,21J (Delta),USA,,Massachusetts,21J (Delta),202143,OL556811,Homo sapiens,0.83,AY.44,Older,North America,,Howard et al HQ,Laboratory Corporation of America,CDC-OAMD,
USA/UT-CDC-ASC210640019/2021,12/23/2021,8,21J (Delta),USA,0,Utah,21J (Delta),202151,OM199724,Homo sapiens,0.83,AY.44,Older,North America,,Howard et al HR,Aegis Sciences Corporation,CDC-OAMD,
USA/WY-CDC-IBX384439419021/2021,12/22/2021,8,21J (Delta),USA,0,Wyoming,21J (Delta),202151,OM196728,Homo sapiens,0.83,AY.44,Older,North America,,Howard et al HS,Infinity Biologix,CDC-OAMD,
USA/CA-CDC-ASC210315528/2021,10/8/2021,7,21J (Delta),USA,,California,21J (Delta),202140,OL404085,Homo sapiens,0.83,AY.44,Older,North America,,Howard et al HT,,,
USA/MO-CDC-QDX30566912/2021,10/29/2021,8,21J (Delta),USA,,Missouri,21J (Delta),202143,OL490171,Homo sapiens,0.81,AY.44,Older,North America,,Howard et al HU,Quest Diagnostics Incorporated,CDC-OAMD,
USA/GU-CDC-2-5400803/2021,12/3/2021,8,21J (Delta),USA,,Guam,21J (Delta),202148,OM338238,Homo sapiens,0.81,AY.44,Older,North America,,Sheth et al AE,Guam Public Health Laboratory,CDC DVD Genomics and DIscovery Team,
USA/DC-CDC-LC0370876/2021,11/6/2021,10,21J (Delta),USA,,Washington DC,21J (Delta),202144,OL560917,Homo sapiens,0.81,AY.44,Older,North America,,Howard et al HV,Laboratory Corporation of America,CDC-OAMD,
USA/MI-CDC-ASC210456992/2021,11/11/2021,8,21J (Delta),USA,,Michigan,21J (Delta),202145,OL732771,Homo sapiens,0.8,AY.44,Older,North America,,Howard et al HW,,,
SouthAfrica/NHLS-UCT-LA-Z732/2021,11/5/2021,7,21J (Delta),South Africa,,South Africa,21J (Delta),202144,OM773397,Homo sapiens,0.87,AY.4,3-7 days ago,Africa,,Wilkinson et al BJ,,,
BHR/21921802321/2021,10/29/2021,7,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL336649,Homo sapiens,0.85,AY.98,Older,Asia,,Alwasti et al ES,,,
BHR/21921815841/2021,10/31/2021,7,21J (Delta),Bahrain,,Bahrain,21J (Delta),202144,OL336700,Homo sapiens,0.84,AY.98,Older,Asia,,Alwasti et al ET,,,
BHR/21921847371_S77_L001/2021,11/6/2021,7,21J (Delta),Bahrain,,Bahrain,21J (Delta),202144,OL441431,Homo sapiens,0.85,AY.98,Older,Asia,,Alwasti et al EU,,,
BHR/21921936698_S52_L001/2021,11/20/2021,7,21J (Delta),Bahrain,,Bahrain,21J (Delta),202146,OL659121,Homo sapiens,0.85,AY.98,Older,Asia,,Alwasti et al EV,,,
England/BRBR-28F271D/2021,10/30/2021,8,21J (Delta),United Kingdom,,England,21J (Delta),202143,OV090104,Homo sapiens,0.91,AY.98,Older,Europe,,Berkshire et al,Berkshire and Surrey Pathology Services Lighthouse Laboratory,Wellcome Sanger Institute,
OU515186,7/20/2021,8,21J (Delta),Germany,,North Rhine Westphalia,21J (Delta),202129,OU515186,Homo sapiens,0.82,AY.98.1,Older,Europe,,? A,"SYNLAB MVZ Leverkusen, Paracelsusstraße 13; 51375 Leverkusen",Robert Koch Institute,
ITA/Padova_02/2021,8/17/2021,10,21J (Delta),Italy,,Italy,21J (Delta),202133,OM202516,Homo sapiens,0.89,AY.98.1,One month ago,Europe,,Lavezzo et al,,,
Switzerland/VS-ICH-2210841488/2021,8/19/2021,9,21J (Delta),Switzerland,,Valais,21J (Delta),202133,OU721595,Homo sapiens,0.81,AY.98.1,Older,Europe,,? CM,"Valais Hospital, Central Institute; Sion, Switzerland","Hopital du Valais, Institut Central des Hopitaux, Sion, Switzerland",
OV078299,10/26/2021,8,21J (Delta),Slovakia,,Slovakia,21J (Delta),202143,OV078299,Homo sapiens,0.82,AY.98.1,Older,Europe,,? N,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia",Public Health Authority of the Slovak Republic,
OV250441,11/13/2021,8,21J (Delta),Slovakia,,Slovakia,21J (Delta),202145,OV250441,Homo sapiens,0.85,AY.98.1,Older,Europe,,? N,"Public Health Authority of the Slovak Republic, TrnavskÃ¡ cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
Liechtenstein/FL-Risch-2182303435/2021,8/18/2021,8,21J (Delta),Liechtenstein,,Liechtenstein,21J (Delta),202133,OU620766,Homo sapiens,0.83,AY.98.1,Older,Europe,,? CN,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",Dr. Risch,
OV192851,11/29/2021,8,21J (Delta),Germany,,Baden-Wuerttemberg,21J (Delta),202148,OV192851,Homo sapiens,0.83,AY.98.1,Older,Europe,,? A,"SYNLAB MVZ Leinfelden-Echterdingen, Nikolaus-Otto-Str. 6; 70771 Leinfelden-Echterdingen",Robert Koch Institute,
KEN/SS4161/2021,11/15/2021,9,21J (Delta),Kenya,,Kenya,21J (Delta),202146,OL913049,Homo sapiens,0.83,AY.46.4,Older,Africa,,Githinji et al CI,,,
BHR/21390239466_S49_L001/2021,11/1/2021,8,21J (Delta),Bahrain,,Bahrain,21J (Delta),202144,OL374113,Homo sapiens,0.84,AY.102,Older,Asia,,Alwasti et al EW,,,
BHR/21921891893/2021,11/10/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202145,OL477574,Homo sapiens,0.83,B.1.617.2,Older,Asia,,Alwasti et al EX,,,
BHR/21921779501_S14_L001/2021,10/26/2021,8,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL321677,Homo sapiens,0.84,AY.102,Older,Asia,,Alwasti et al EY,,,
BHR/21250213301/2021,10/30/2021,8,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL336615,Homo sapiens,0.83,AY.102,Older,Asia,,Alwasti et al EZ,,,
BHR/21921779522/2021,10/26/2021,8,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL305049,Homo sapiens,0.84,AY.102,Older,Asia,,Alwasti et al FA,,,
BHR/21921780646/2021,10/26/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL305051,Homo sapiens,0.84,AY.125,Older,Asia,,Alwasti et al FB,,,
BHR/21921780248_S35_L001/2021,10/26/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL321680,Homo sapiens,0.83,AY.102,Older,Asia,,Alwasti et al FC,,,
BHR/21921780682_S26_L001/2021,10/26/2021,9,21J (Delta),Bahrain,,Bahrain,21J (Delta),202143,OL321685,Homo sapiens,0.83,AY.102,Older,Asia,,Alwasti et al FD,,,
MAR/CNRST131_INH5858/2021,7/7/2021,12,21J (Delta),Morocco,,Morocco,21J (Delta),202127,OL375239,Homo sapiens,0.83,AY.33,Older,Africa,,Hemlali et al,,,
OV105955,11/2/2021,9,21J (Delta),Germany,,Saxony,21J (Delta),202144,OV105955,Homo sapiens,0.84,AY.125,Older,Europe,,? A,"Bioscientia Labor Wermsdorf, Am Fasanenholz 31; 04779 Wermsdorf",Robert Koch Institute,
